country_id,year,err_float,is_switch_year,provisional,note
ITA,2025,1,0,1,
JAM,2019,1,0,0,
JAM,2020,1,0,0,
JAM,2021,1,0,0,
JAM,2022,0,1,0,"Floating -> Crawl-like 2022 (AREAER 2023 vintage; tail carry-forward, provisional)"
JAM,2023,0,0,0,
JAM,2024,0,0,1,
JAM,2025,0,0,1,
JOR,2019,0,0,0,
JOR,2020,0,0,0,
JOR,2021,0,0,0,
JOR,2022,0,0,0,
JOR,2023,0,0,0,
JOR,2024,0,0,1,
JOR,2025,0,0,1,
JPN,2019,1,0,0,
JPN,2020,1,0,0,
JPN,2021,1,0,0,
JPN,2022,1,0,0,
JPN,2023,1,0,0,
JPN,2024,1,0,1,
JPN,2025,1,0,1,
KAZ,2019,1,0,0,
KAZ,2020,1,0,0,
KAZ,2021,1,0,0,
KAZ,2022,1,0,0,
KAZ,2023,1,0,0,
KAZ,2024,1,0,1,
KAZ,2025,1,0,1,
KEN,2019,0,0,0,
KEN,2020,0,0,0,brief float late-2020 not coded (kept 0)
KEN,2021,0,0,0,
KEN,2022,0,0,0,
KEN,2023,0,0,0,
KEN,2024,0,0,1,
KEN,2025,0,0,1,
KGZ,2019,0,0,0,
KGZ,2020,0,0,0,
KGZ,2021,0,0,0,
KGZ,2022,0,0,0,
KGZ,2023,0,0,0,
KGZ,2024,0,0,1,
KGZ,2025,0,0,1,
KHM,2019,0,0,0,
KHM,2020,0,0,0,
KHM,2021,0,0,0,
KHM,2022,0,0,0,
KHM,2023,0,0,0,
KHM,2024,0,0,1,
KHM,2025,0,0,1,
KOR,2019,1,0,0,
KOR,2020,1,0,0,
KOR,2021,1,0,0,
KOR,2022,1,0,0,
KOR,2023,1,0,0,
KOR,2024,1,0,1,
KOR,2025,1,0,1,
KWT,2019,0,0,0,
KWT,2020,0,0,0,
KWT,2021,0,0,0,
KWT,2022,0,0,0,
KWT,2023,0,0,0,
KWT,2024,0,0,1,
KWT,2025,0,0,1,
LAO,2019,0,0,0,
LAO,2020,0,0,0,
LAO,2021,0,0,0,
LAO,2022,0,0,0,
LAO,2023,0,0,0,
LAO,2024,0,0,1,
LAO,2025,0,0,1,
LBN,2019,0,0,0,
LBN,2020,0,0,0,
LBN,2021,0,0,0,
LBN,2022,0,0,0,
LBN,2023,0,0,0,
LBN,2024,0,0,1,
LBN,2025,0,0,1,
LTU,2019,1,0,0,
LTU,2020,1,0,0,
LTU,2021,1,0,0,
LTU,2022,1,0,0,
LTU,2023,1,0,0,
LTU,2024,1,0,1,
LTU,2025,1,0,1,
LVA,2019,1,0,0,
LVA,2020,1,0,0,
LVA,2021,1,0,0,
LVA,2022,1,0,0,
LVA,2023,1,0,0,
LVA,2024,1,0,1,
LVA,2025,1,0,1,
MAR,2019,0,0,0,
MAR,2020,0,0,0,
MAR,2021,0,0,0,
MAR,2022,0,0,0,
MAR,2023,0,0,0,
MAR,2024,0,0,1,
MAR,2025,0,0,1,
MDV,2019,0,0,0,
MDV,2020,0,0,0,
MDV,2021,0,0,0,
MDV,2022,0,0,0,
MDV,2023,0,0,0,
MDV,2024,0,0,1,
MDV,2025,0,0,1,
MEX,2019,1,0,0,
MEX,2020,1,0,0,
MEX,2021,1,0,0,
MEX,2022,1,0,0,
MEX,2023,1,0,0,
MEX,2024,1,0,1,
MEX,2025,1,0,1,
MLT,2019,1,0,0,
MLT,2020,1,0,0,
MLT,2021,1,0,0,
MLT,2022,1,0,0,
MLT,2023,1,0,0,
MLT,2024,1,0,1,
MLT,2025,1,0,1,
MNG,2019,0,0,0,
MNG,2020,0,0,0,
MNG,2021,0,0,0,
MNG,2022,0,0,0,
MNG,2023,0,0,0,
MNG,2024,0,0,1,
MNG,2025,0,0,1,
MUS,2019,1,0,0,
MUS,2020,0,1,0,Crawl-like 2020 (COVID); Floating before/after (AREAER lag-corrected)
MUS,2021,1,1,0,Crawl-like 2020 (COVID); Floating before/after (AREAER lag-corrected)
MUS,2022,1,0,0,
MUS,2023,1,0,0,
MUS,2024,1,0,1,
MUS,2025,1,0,1,
MWI,2019,0,0,0,
MWI,2020,0,0,0,
MWI,2021,0,0,0,
MWI,2022,0,0,0,
MWI,2023,0,0,0,
MWI,2024,0,0,1,
MWI,2025,0,0,1,
MYS,2019,1,0,0,
MYS,2020,1,0,0,
MYS,2021,1,0,0,
MYS,2022,1,0,0,
MYS,2023,1,0,0,
MYS,2024,1,0,1,
MYS,2025,1,0,1,
NAM,2019,0,0,0,
NAM,2020,0,0,0,
NAM,2021,0,0,0,
NAM,2022,0,0,0,
NAM,2023,0,0,0,
NAM,2024,0,0,1,
NAM,2025,0,0,1,
NGA,2019,0,0,0,
NGA,2020,0,0,0,
NGA,2021,0,0,0,
NGA,2022,0,0,0,
NGA,2023,1,1,0,-> float Jun-2023 (reform)
NGA,2024,1,0,1,
NGA,2025,1,0,1,
NLD,2019,1,0,0,
NLD,2020,1,0,0,
NLD,2021,1,0,0,
NLD,2022,1,0,0,
NLD,2023,1,0,0,
NLD,2024,1,0,1,
NLD,2025,1,0,1,
NOR,2019,1,0,0,
NOR,2020,1,0,0,
NOR,2021,1,0,0,
NOR,2022,1,0,0,
NOR,2023,1,0,0,
NOR,2024,1,0,1,
NOR,2025,1,0,1,
NZL,2019,1,0,0,
NZL,2020,1,0,0,
NZL,2021,1,0,0,
NZL,2022,1,0,0,
NZL,2023,1,0,0,
NZL,2024,1,0,1,
NZL,2025,1,0,1,
OMN,2019,0,0,0,
OMN,2020,0,0,0,
OMN,2021,0,0,0,
OMN,2022,0,0,0,
OMN,2023,0,0,0,
OMN,2024,0,0,1,
OMN,2025,0,0,1,
PAK,2019,0,0,0,
PAK,2020,1,1,0,float Mar-2020 -> Other Managed 6 May 2021
PAK,2021,0,1,0,float Mar-2020 -> Other Managed 6 May 2021
PAK,2022,0,0,0,
PAK,2023,0,0,0,
PAK,2024,0,0,1,
PAK,2025,0,0,1,
PAN,2019,0,0,0,
PAN,2020,0,0,0,
PAN,2021,0,0,0,
PAN,2022,0,0,0,
PAN,2023,0,0,0,
PAN,2024,0,0,1,
PAN,2025,0,0,1,
PER,2019,1,0,0,
PER,2020,0,1,0,managed Apr-2020 -> float Mar-2021 (COVID)
PER,2021,1,1,0,managed Apr-2020 -> float Mar-2021 (COVID)
PER,2022,1,0,0,
PER,2023,1,0,0,
PER,2024,1,0,1,
PER,2025,1,0,1,
PHL,2019,1,0,0,
